"HYBAS_ID","Australasian.Darter","Australian.Pelican","Grey.Teal","Intermediate.Egret","Australasian.Grebe","Azure.Kingfisher","Caspian.Tern","Eastern.Reef.Egret","Green.Pygmy.goose","Lesser.Crested.Tern","Little.Egret","Little.Tern","Nankeen.Night.Heron","Pacific.Black.Duck","Pied.Cormorant","Pied.Heron","Pink.eared.Duck","Royal.Spoonbill","Striated.Heron","Wandering.Whistling.Duck","Whiskered.Tern","White.necked.Heron","Yellow.billed.Spoonbill","White.winged.Black.Tern","Hardhead","Little.Pied.Cormorant","Little.Black.Cormorant","Great.billed.Heron","Black.Swan","Chestnut.Teal","Radjah.Shelduck","Dusky.Moorhen","Eurasian.Coot","Great.Cormorant","Hoary.headed.Grebe","Magpie.Goose","Black.Bittern","Little.Kingfisher","White.browed.Crake","Cotton.Pygmy.goose","Northern.Mallard","Australasian.Shoveler","Australasian.Bittern","Agricultural_Water_Stress","Aquaculture_Pressure","Consumptive_Water_Loss","Cropland","Fishing_Pressure","Human_Water_Stress","Impervious_Surfaces","Livestock_Density","Mercury_Deposition","Nitrogen_Loading","Organic_Loading","Pesticide_Loading","Phosphorus_Loading","Potential_Acidification","Sediment_Loading","Soil_Salinisation","Thermal_Alteration","Wetland_Disconnectivity","ele_mt_sav","tmp_dc_syr","pre_mm_syr","ire_pc_sse","X","Y"
5080065070,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.514299988746643,0,0,0,0,0,0,0.698300004005432,0,0,0,0.432099997997284,0,0,0,0,0,5,266,989,0,138.174629685257,-16.7084400775794
5080065080,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.514299988746643,0,0,0,0,0,0,0.698300004005432,0,0,0,0.432099997997284,0,0,0,0,0,10,265,965,0,138.273991497539,-16.8664389191354
5080065150,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359400004148483,0,0,0.277099996805191,0,0,0.0971999987959862,0.650799989700317,0,0,0,0.392300009727478,0,0,0,0,0,6,264,1029,0,138.625218725248,-16.8851918956273
5080065190,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359400004148483,0,0,0.277099996805191,0,0,0.0971999987959862,0.650799989700317,0,0,0,0.392300009727478,0,0,0,0,0,7,264,1041,0,138.812119910884,-16.9632698833363
5080065220,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359400004148483,0,0,0.277099996805191,0,0,0.194399997591972,0.650799989700317,0,0,0,0.392300009727478,0,0,0,0,0,16,263,991,0,138.835899856384,-17.1155291455848
5080065230,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.512750014662743,0,0,0.45924998819828,0.217700004577637,0,0.0971999987959862,0.729849994182587,0,0.0044999998062849,0,0.470400005578995,0,0,0,0.086499996483326,0,8,264,1018,0,139.106163578637,-17.1125694268967
5080065320,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666100025177002,0,0,0.64139997959137,0.435400009155273,0,0.194399997591972,0.808899998664856,0,0.00899999961256981,0,0.548500001430511,0,0,0,0.172999992966652,0,5,264,919,0,139.22145826149,-17.3921213518113
5080065420,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.593800008296967,0.0130500001832843,0,0.510300010442734,0,0.0412999987602234,0.187600001692772,0.870149999856949,0.186499997973442,0.0986500009894371,0,0.643600016832352,0,0,0,0.398349985480309,0.0229499991983175,6,264,821,0,139.452292699445,-17.6884987404462
5080065430,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561900019645691,0.0261000003665686,0,0.430299997329712,0,0.0825999975204468,0.184200003743172,0.903900027275085,0.372999995946884,0.197300001978874,0,0.70880001783371,0,0,0,0.600799977779388,0.0458999983966351,0,265,868,0,139.689482625041,-17.5569714831633
5080065550,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.522000014781952,0.0261000003665686,0,0.558499991893768,0,0,0.184200003743172,0.468899995088577,0.189600005745888,0,0,0.329100012779236,0,0,0,0,0,0,268,832,0,140.350212250711,-17.6825848048712
5080065570,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606450021266937,0.0261000003665686,0,0.593250006437302,0,0,0.184200003743172,0.677799984812737,0.0948000028729439,0,0.0275500006973743,0.476249992847443,0,0,0,0.023700000718236,0,1,269,844,0,140.552338682968,-17.6428833612005
